frame_number,frame_time,results
0,2024/5/22 Wednesday 0:0:0,"[{'box': [1218, 313, 132, 271], 'conf': tensor(0.8779), 'label_id': 0, 'id': 1}, {'box': [207, 416, 127, 273], 'conf': tensor(0.8682), 'label_id': 0, 'id': 2}, {'box': [1498, 387, 139, 248], 'conf': tensor(0.8385), 'label_id': 0, 'id': 3}, {'box': [1611, 446, 127, 263], 'conf': tensor(0.8082), 'label_id': 0, 'id': 4}, {'box': [281, 439, 103, 243], 'conf': tensor(0.8024), 'label_id': 0, 'id': 5}, {'box': [1146, 207, 94, 188], 'conf': tensor(0.7919), 'label_id': 0, 'id': 6}, {'box': [17, 494, 155, 287], 'conf': tensor(0.7869), 'label_id': 0, 'id': 7}, {'box': [443, 341, 115, 321], 'conf': tensor(0.7608), 'label_id': 0, 'id': 8}, {'box': [130, 437, 104, 241], 'conf': tensor(0.6970), 'label_id': 0, 'id': 9}, {'box': [1781, 481, 111, 197], 'conf': tensor(0.6673), 'label_id': 0, 'id': 10}, {'box': [348, 348, 103, 317], 'conf': tensor(0.6502), 'label_id': 0, 'id': 11}]"
1,2024/5/22 Wednesday 0:0:0,"[{'box': [1219, 310, 124, 274], 'conf': tensor(0.8655), 'label_id': 0, 'id': 1}, {'box': [207, 416, 127, 273], 'conf': tensor(0.8682), 'label_id': 0, 'id': 2}, {'box': [1492, 389, 141, 243], 'conf': tensor(0.8167), 'label_id': 0, 'id': 3}, {'box': [1601, 447, 134, 265], 'conf': tensor(0.8414), 'label_id': 0, 'id': 4}, {'box': [281, 439, 103, 243], 'conf': tensor(0.7984), 'label_id': 0, 'id': 5}, {'box': [1146, 207, 94, 188], 'conf': tensor(0.7901), 'label_id': 0, 'id': 6}, {'box': [16, 492, 157, 289], 'conf': tensor(0.7997), 'label_id': 0, 'id': 7}, {'box': [443, 341, 114, 322], 'conf': tensor(0.7498), 'label_id': 0, 'id': 8}, {'box': [130, 437, 106, 241], 'conf': tensor(0.7057), 'label_id': 0, 'id': 9}, {'box': [1778, 478, 108, 199], 'conf': tensor(0.8413), 'label_id': 0, 'id': 10}, {'box': [350, 405, 100, 259], 'conf': tensor(0.6147), 'label_id': 0, 'id': 11}]"
2,2024/5/22 Wednesday 0:0:0,"[{'box': [1218, 308, 115, 276], 'conf': tensor(0.8610), 'label_id': 0, 'id': 1}, {'box': [207, 416, 127, 273], 'conf': tensor(0.8698), 'label_id': 0, 'id': 2}, {'box': [1485, 389, 143, 239], 'conf': tensor(0.7944), 'label_id': 0, 'id': 3}, {'box': [1595, 445, 138, 268], 'conf': tensor(0.8422), 'label_id': 0, 'id': 4}, {'box': [281, 439, 103, 243], 'conf': tensor(0.8060), 'label_id': 0, 'id': 5}, {'box': [1147, 206, 93, 189], 'conf': tensor(0.7834), 'label_id': 0, 'id': 6}, {'box': [16, 491, 157, 289], 'conf': tensor(0.8003), 'label_id': 0, 'id': 7}, {'box': [443, 341, 114, 321], 'conf': tensor(0.7459), 'label_id': 0, 'id': 8}, {'box': [130, 437, 105, 241], 'conf': tensor(0.7237), 'label_id': 0, 'id': 9}, {'box': [1778, 476, 109, 200], 'conf': tensor(0.8065), 'label_id': 0, 'id': 10}, {'box': [352, 415, 98, 250], 'conf': tensor(0.6295), 'label_id': 0, 'id': 11}, {'box': [1310, 317, 94, 226], 'conf': tensor(0.6401), 'label_id': 0, 'id': 12}]"
3,2024/5/22 Wednesday 0:0:0,"[{'box': [1217, 306, 104, 279], 'conf': tensor(0.8542), 'label_id': 0, 'id': 1}, {'box': [207, 417, 127, 272], 'conf': tensor(0.8700), 'label_id': 0, 'id': 2}, {'box': [1480, 390, 141, 241], 'conf': tensor(0.8707), 'label_id': 0, 'id': 3}, {'box': [1590, 449, 142, 263], 'conf': tensor(0.8523), 'label_id': 0, 'id': 4}, {'box': [281, 438, 103, 243], 'conf': tensor(0.7970), 'label_id': 0, 'id': 5}, {'box': [1147, 205, 93, 189], 'conf': tensor(0.7666), 'label_id': 0, 'id': 6}, {'box': [15, 491, 158, 289], 'conf': tensor(0.8053), 'label_id': 0, 'id': 7}, {'box': [442, 341, 115, 322], 'conf': tensor(0.7483), 'label_id': 0, 'id': 8}, {'box': [130, 438, 110, 240], 'conf': tensor(0.7013), 'label_id': 0, 'id': 9}, {'box': [1777, 473, 108, 204], 'conf': tensor(0.6345), 'label_id': 0, 'id': 10}, {'box': [351, 416, 98, 248], 'conf': tensor(0.6539), 'label_id': 0, 'id': 11}, {'box': [1289, 314, 104, 231], 'conf': tensor(0.8001), 'label_id': 0, 'id': 12}]"
4,2024/5/22 Wednesday 0:0:0,"[{'box': [1216, 303, 97, 281], 'conf': tensor(0.8521), 'label_id': 0, 'id': 1}, {'box': [207, 416, 127, 272], 'conf': tensor(0.8692), 'label_id': 0, 'id': 2}, {'box': [1474, 387, 142, 248], 'conf': tensor(0.8762), 'label_id': 0, 'id': 3}, {'box': [1578, 450, 155, 262], 'conf': tensor(0.8527), 'label_id': 0, 'id': 4}, {'box': [281, 438, 102, 243], 'conf': tensor(0.8037), 'label_id': 0, 'id': 5}, {'box': [1148, 204, 92, 189], 'conf': tensor(0.7398), 'label_id': 0, 'id': 6}, {'box': [15, 491, 158, 289], 'conf': tensor(0.8032), 'label_id': 0, 'id': 7}, {'box': [442, 342, 116, 320], 'conf': tensor(0.7533), 'label_id': 0, 'id': 8}, {'box': [130, 437, 111, 241], 'conf': tensor(0.7170), 'label_id': 0, 'id': 9}, {'box': [1780, 472, 105, 204], 'conf': tensor(0.5866), 'label_id': 0, 'id': 10}, {'box': [351, 416, 98, 248], 'conf': tensor(0.6239), 'label_id': 0, 'id': 11}, {'box': [1279, 312, 114, 234], 'conf': tensor(0.7431), 'label_id': 0, 'id': 12}]"
5,2024/5/22 Wednesday 0:0:0,"[{'box': [1212, 302, 95, 283], 'conf': tensor(0.8503), 'label_id': 0, 'id': 1}, {'box': [207, 416, 127, 272], 'conf': tensor(0.8688), 'label_id': 0, 'id': 2}, {'box': [1472, 386, 138, 251], 'conf': tensor(0.8543), 'label_id': 0, 'id': 3}, {'box': [1571, 452, 153, 262], 'conf': tensor(0.8470), 'label_id': 0, 'id': 4}, {'box': [281, 438, 101, 243], 'conf': tensor(0.7857), 'label_id': 0, 'id': 5}, {'box': [1148, 202, 92, 191], 'conf': tensor(0.6990), 'label_id': 0, 'id': 6}, {'box': [15, 491, 158, 288], 'conf': tensor(0.8026), 'label_id': 0, 'id': 7}, {'box': [442, 341, 115, 322], 'conf': tensor(0.7851), 'label_id': 0, 'id': 8}, {'box': [130, 437, 110, 241], 'conf': tensor(0.7325), 'label_id': 0, 'id': 9}, {'box': [1784, 468, 98, 205], 'conf': tensor(0.7334), 'label_id': 0, 'id': 10}, {'box': [352, 414, 97, 250], 'conf': tensor(0.7620), 'label_id': 0, 'id': 11}, {'box': [1286, 308, 102, 238], 'conf': tensor(0.7798), 'label_id': 0, 'id': 12}]"
6,2024/5/22 Wednesday 0:0:0,"[{'box': [1200, 300, 101, 284], 'conf': tensor(0.8661), 'label_id': 0, 'id': 1}, {'box': [207, 416, 127, 272], 'conf': tensor(0.8683), 'label_id': 0, 'id': 2}, {'box': [1471, 385, 132, 251], 'conf': tensor(0.8389), 'label_id': 0, 'id': 3}, {'box': [1567, 452, 150, 261], 'conf': tensor(0.8671), 'label_id': 0, 'id': 4}, {'box': [281, 438, 101, 243], 'conf': tensor(0.7913), 'label_id': 0, 'id': 5}, {'box': [1148, 201, 93, 193], 'conf': tensor(0.7066), 'label_id': 0, 'id': 6}, {'box': [15, 492, 158, 287], 'conf': tensor(0.8005), 'label_id': 0, 'id': 7}, {'box': [442, 341, 115, 322], 'conf': tensor(0.7814), 'label_id': 0, 'id': 8}, {'box': [130, 437, 109, 241], 'conf': tensor(0.7282), 'label_id': 0, 'id': 9}, {'box': [1784, 465, 101, 206], 'conf': tensor(0.7058), 'label_id': 0, 'id': 10}, {'box': [353, 413, 96, 251], 'conf': tensor(0.7574), 'label_id': 0, 'id': 11}, {'box': [1289, 305, 96, 239], 'conf': tensor(0.8079), 'label_id': 0, 'id': 12}]"
7,2024/5/22 Wednesday 0:0:0,"[{'box': [1192, 299, 105, 285], 'conf': tensor(0.8633), 'label_id': 0, 'id': 1}, {'box': [206, 416, 128, 272], 'conf': tensor(0.8699), 'label_id': 0, 'id': 2}, {'box': [1471, 384, 126, 248], 'conf': tensor(0.8043), 'label_id': 0, 'id': 3}, {'box': [1564, 452, 146, 260], 'conf': tensor(0.8790), 'label_id': 0, 'id': 4}, {'box': [281, 438, 101, 243], 'conf': tensor(0.8046), 'label_id': 0, 'id': 5}, {'box': [1149, 201, 92, 194], 'conf': tensor(0.6953), 'label_id': 0, 'id': 6}, {'box': [15, 492, 157, 286], 'conf': tensor(0.7834), 'label_id': 0, 'id': 7}, {'box': [442, 339, 114, 323], 'conf': tensor(0.7828), 'label_id': 0, 'id': 8}, {'box': [130, 437, 110, 241], 'conf': tensor(0.7382), 'label_id': 0, 'id': 9}, {'box': [1778, 463, 100, 208], 'conf': tensor(0.7572), 'label_id': 0, 'id': 10}, {'box': [352, 415, 98, 250], 'conf': tensor(0.7325), 'label_id': 0, 'id': 11}, {'box': [1286, 302, 95, 242], 'conf': tensor(0.8462), 'label_id': 0, 'id': 12}]"
8,2024/5/22 Wednesday 0:0:0,"[{'box': [1180, 298, 112, 287], 'conf': tensor(0.8621), 'label_id': 0, 'id': 1}, {'box': [207, 416, 127, 272], 'conf': tensor(0.8649), 'label_id': 0, 'id': 2}, {'box': [1472, 381, 120, 246], 'conf': tensor(0.8306), 'label_id': 0, 'id': 3}, {'box': [1563, 451, 141, 261], 'conf': tensor(0.8707), 'label_id': 0, 'id': 4}, {'box': [281, 438, 101, 243], 'conf': tensor(0.8142), 'label_id': 0, 'id': 5}, {'box': [1149, 199, 91, 198], 'conf': tensor(0.7366), 'label_id': 0, 'id': 6}, {'box': [15, 492, 155, 286], 'conf': tensor(0.7897), 'label_id': 0, 'id': 7}, {'box': [443, 340, 114, 322], 'conf': tensor(0.7720), 'label_id': 0, 'id': 8}, {'box': [130, 438, 110, 240], 'conf': tensor(0.7526), 'label_id': 0, 'id': 9}, {'box': [1771, 463, 103, 209], 'conf': tensor(0.7012), 'label_id': 0, 'id': 10}, {'box': [348, 370, 103, 295], 'conf': tensor(0.6699), 'label_id': 0, 'id': 11}, {'box': [1271, 301, 107, 244], 'conf': tensor(0.8124), 'label_id': 0, 'id': 12}]"
9,2024/5/22 Wednesday 0:0:0,"[{'box': [1169, 297, 117, 288], 'conf': tensor(0.8501), 'label_id': 0, 'id': 1}, {'box': [206, 416, 128, 272], 'conf': tensor(0.8640), 'label_id': 0, 'id': 2}, {'box': [1472, 376, 116, 249], 'conf': tensor(0.7422), 'label_id': 0, 'id': 3}, {'box': [1564, 447, 135, 265], 'conf': tensor(0.8577), 'label_id': 0, 'id': 4}, {'box': [281, 438, 101, 243], 'conf': tensor(0.8139), 'label_id': 0, 'id': 5}, {'box': [1149, 198, 91, 198], 'conf': tensor(0.7399), 'label_id': 0, 'id': 6}, {'box': [16, 493, 153, 286], 'conf': tensor(0.7836), 'label_id': 0, 'id': 7}, {'box': [442, 340, 114, 321], 'conf': tensor(0.7777), 'label_id': 0, 'id': 8}, {'box': [130, 438, 110, 240], 'conf': tensor(0.7525), 'label_id': 0, 'id': 9}, {'box': [1760, 464, 104, 207], 'conf': tensor(0.6920), 'label_id': 0, 'id': 10}, {'box': [348, 396, 104, 269], 'conf': tensor(0.6931), 'label_id': 0, 'id': 11}, {'box': [1264, 300, 109, 246], 'conf': tensor(0.7911), 'label_id': 0, 'id': 12}]"
