frame_number,box_x,box_y,box_w,box_h,conf,label,user_id,region
0,1284,448,132,271,0.8779356,person,1,
0,270,552,126,272,0.86819017,person,2,
0,1567,511,139,248,0.8385135,person,3,
0,1674,578,126,262,0.8081661,person,4,
0,333,560,103,243,0.80236256,person,5,
0,1193,301,94,188,0.79186803,person,6,
0,94,638,155,286,0.7869385,person,7,
0,501,502,115,321,0.7608451,person,8,entrance
0,182,558,104,241,0.6969803,person,9,
0,1116,248,113,239,0.68207943,refrigerator,10,
0,1836,579,111,196,0.66731775,person,11,
0,399,507,102,316,0.6502424,person,12,
1,1281,447,124,273,0.86548567,person,1,
1,270,552,126,272,0.8681918,person,2,
1,1562,510,141,243,0.8167046,person,3,
1,1668,580,134,264,0.8413845,person,4,
1,332,560,103,243,0.79838765,person,5,
1,1193,301,93,187,0.7901204,person,6,
1,95,636,156,289,0.79969263,person,7,
1,500,502,114,321,0.749785,person,8,entrance
1,183,558,105,241,0.7057001,person,9,
1,1116,248,113,239,0.5804591,refrigerator,10,
1,1832,578,107,198,0.84127283,person,11,
1,400,534,100,258,0.6147329,person,12,
2,1275,446,114,275,0.86097425,person,1,atm
2,270,552,126,272,0.86980176,person,2,
2,1556,508,143,239,0.7943713,person,3,
2,1664,579,138,268,0.8422183,person,4,
2,332,560,103,242,0.8059961,person,5,
2,1193,300,93,189,0.7833797,person,6,
2,94,636,157,289,0.80026877,person,7,
2,500,502,114,321,0.74588263,person,8,entrance
2,182,558,104,241,0.7236682,person,9,
2,1116,248,114,240,0.6245611,refrigerator,10,
2,1832,576,108,199,0.80650526,person,11,
2,401,540,98,249,0.6294989,person,12,
2,1357,430,94,226,0.6400974,person,13,
3,1269,445,103,279,0.8542333,person,1,atm
3,270,553,126,271,0.87002206,person,2,
3,1550,511,141,241,0.8707053,person,3,
3,1661,581,142,263,0.8523121,person,4,
3,332,560,102,242,0.7969934,person,5,
3,1193,299,92,188,0.7666405,person,6,
3,94,636,157,288,0.8053296,person,7,
3,499,502,114,321,0.7482561,person,8,entrance
3,185,558,109,240,0.70130676,person,9,
3,1117,248,115,240,0.48091593,refrigerator,10,
3,1831,575,107,203,0.63450867,person,11,
3,400,540,97,247,0.65387934,person,12,
3,1341,430,103,231,0.800095,person,13,
4,1265,444,97,281,0.8520804,person,1,atm
4,270,552,126,272,0.86918104,person,2,
4,1545,511,141,247,0.8762023,person,3,
4,1655,581,154,262,0.8526736,person,4,
4,332,560,102,242,0.80374324,person,5,
4,1194,299,91,188,0.73977137,person,6,
4,94,635,157,288,0.8032003,person,7,
4,500,502,115,320,0.75330245,person,8,entrance
4,185,558,110,240,0.71697235,person,9,
4,1116,248,114,241,0.57637554,refrigerator,10,
4,1833,574,104,204,0.58659387,person,11,
4,400,540,97,248,0.62385076,person,12,
4,1336,429,113,234,0.743086,person,13,
5,1259,443,95,282,0.8503341,person,1,atm
5,270,552,127,272,0.86877644,person,2,
5,1541,511,138,250,0.85428274,person,3,
5,1647,583,152,261,0.84697944,person,4,
5,332,560,101,243,0.7857385,person,5,
5,1194,297,91,190,0.6990128,person,6,
5,94,635,157,288,0.80264974,person,7,
5,500,502,115,321,0.7850711,person,8,entrance
5,185,558,109,241,0.7325269,person,9,
5,1116,248,114,241,0.46193537,refrigerator,10,
5,1833,570,97,205,0.7333912,person,11,
5,400,539,97,250,0.7620031,person,12,
5,1337,427,101,238,0.77979887,person,13,
6,1250,442,101,284,0.86611414,person,1,atm
6,270,552,127,272,0.86832714,person,2,
6,1537,510,132,251,0.838881,person,3,
6,1642,582,149,261,0.86710054,person,4,
6,332,560,101,243,0.79128736,person,5,
6,1194,298,92,192,0.7065689,person,6,
6,94,636,157,287,0.80049616,person,7,
6,500,502,114,322,0.78142345,person,8,entrance
6,185,558,109,241,0.72815835,person,9,
6,1116,248,114,241,0.53826165,refrigerator,10,
6,1834,568,100,205,0.7057709,person,11,
6,401,539,95,250,0.75738704,person,12,
6,1337,424,96,238,0.8078819,person,13,
7,1244,441,105,285,0.86330616,person,1,atm
7,270,552,127,272,0.8699345,person,2,
7,1534,508,126,248,0.80427545,person,3,
7,1637,582,146,260,0.8789938,person,4,
7,331,560,100,243,0.80459225,person,5,
7,1195,298,91,193,0.6952697,person,6,
7,93,635,156,286,0.7834183,person,7,
7,499,500,113,322,0.78283644,person,8,entrance
7,185,558,110,240,0.738197,person,9,
7,1116,248,112,242,0.4294208,refrigerator,10,
7,1828,567,99,208,0.75718766,person,11,
7,401,540,98,250,0.73245835,person,12,
7,1334,423,95,241,0.8462062,person,13,
8,1236,441,111,286,0.86214465,person,1,atm
8,270,552,127,272,0.86489534,person,2,
8,1532,504,120,245,0.8306105,person,3,
8,1634,582,140,260,0.87071407,person,4,
8,332,560,100,243,0.8141796,person,5,
8,1194,298,91,197,0.73657,person,6,
8,93,635,154,286,0.78965145,person,7,
8,500,501,114,321,0.7719614,person,8,entrance
8,185,558,109,239,0.75256336,person,9,
8,1115,248,112,242,0.33865792,refrigerator,10,
8,1822,567,102,209,0.70123583,person,11,
8,400,518,102,295,0.66993076,person,12,
8,1325,423,106,243,0.81241965,person,13,
9,1228,441,116,288,0.85012084,person,1,atm
9,270,552,127,272,0.86402243,person,2,
9,1530,500,116,249,0.74218464,person,3,
9,1632,580,135,265,0.857697,person,4,
9,332,559,100,243,0.81387234,person,5,
9,1194,297,90,198,0.73993194,person,6,
9,92,636,152,285,0.78362566,person,7,
9,499,500,113,321,0.7777219,person,8,entrance
9,185,558,109,240,0.75254434,person,9,
9,1115,249,113,242,0.21766968,refrigerator,10,
9,1812,568,104,207,0.6920392,person,11,
9,400,531,103,268,0.69312525,person,12,
9,1319,423,108,245,0.79110277,person,13,
10,1220,440,118,288,0.85865337,person,1,atm
10,270,552,127,273,0.8629832,person,2,
10,1529,500,112,249,0.23089004,person,3,
10,1629,576,129,268,0.8386904,person,4,
10,332,559,100,243,0.8109963,person,5,
10,1194,298,91,199,0.7220721,person,6,
10,93,636,151,284,0.7732514,person,7,
10,499,499,113,320,0.774257,person,8,entrance
10,185,558,109,240,0.7295906,person,9,
10,1115,248,113,241,0.14950794,refrigerator,10,
10,1811,566,124,207,0.6520171,person,11,
10,400,537,105,257,0.74733967,person,12,
10,1315,420,106,243,0.74491996,person,13,
11,1213,438,117,294,0.8590708,person,1,atm
11,270,552,127,273,0.8662391,person,2,
11,1527,498,106,250,0.69490397,person,3,
11,1627,575,123,269,0.80188185,person,4,
11,332,560,100,243,0.80653983,person,5,
11,1193,297,90,200,0.77433515,person,6,
11,93,637,150,284,0.7760336,person,7,
11,499,500,113,320,0.77343565,person,8,entrance
11,184,558,108,240,0.7340262,person,9,
11,1800,565,118,209,0.67389,person,11,
11,401,538,102,254,0.7483338,person,12,
11,1317,415,88,238,0.7622435,person,13,
11,1619,356,97,182,0.60520244,person,15,
12,1208,438,117,293,0.86908823,person,1,atm
12,270,551,128,274,0.8685353,person,2,
12,1530,497,109,251,0.4945363,person,3,
12,1624,574,120,271,0.6919712,person,4,
12,332,560,101,243,0.80731463,person,5,
12,1193,294,86,196,0.74680996,person,6,
12,93,637,150,284,0.775377,person,7,
12,499,500,113,319,0.7701594,person,8,entrance
12,184,558,107,240,0.7347742,person,9,
12,1794,562,112,215,0.6144412,person,11,
12,401,539,101,254,0.74104965,person,12,
12,1313,411,82,233,0.729242,person,13,
12,1620,357,99,185,0.6801043,person,15,
13,1206,436,116,293,0.8532248,person,1,atm
13,270,551,128,274,0.8658257,person,2,
13,1525,496,100,253,0.6718886,person,3,
13,1622,574,117,274,0.6333165,person,4,
13,332,560,102,243,0.8043121,person,5,
13,1192,296,86,201,0.71663076,person,6,
13,92,637,150,283,0.77126557,person,7,
13,499,500,114,319,0.7614116,person,8,entrance
13,184,558,108,240,0.7330051,person,9,
13,1789,562,110,216,0.79037017,person,11,
13,402,539,101,253,0.7661718,person,12,
13,1308,409,76,234,0.73133916,person,13,
13,1618,361,102,193,0.71916354,person,15,
14,1204,433,111,293,0.86177725,person,1,atm
14,270,551,127,274,0.86712736,person,2,
14,1522,498,98,250,0.7683027,person,3,
14,1621,574,114,275,0.8383926,person,4,
14,333,560,102,243,0.80520314,person,5,
14,1191,296,88,201,0.73262125,person,6,
14,93,638,149,282,0.7822186,person,7,
14,500,501,116,319,0.7575982,person,8,entrance
14,184,558,108,239,0.73795086,person,9,
14,1779,561,113,216,0.77840626,person,11,
14,401,539,102,253,0.7605147,person,12,
