frame_number,region_name,people_count
0,atm,0
0,entrance,2
1,atm,0
1,entrance,2
2,atm,0
2,entrance,2
3,atm,0
3,entrance,3
4,atm,0
4,entrance,3
5,atm,0
5,entrance,3
6,atm,0
6,entrance,3
7,atm,0
7,entrance,3
8,atm,0
8,entrance,3
9,atm,0
9,entrance,3
10,atm,0
10,entrance,3
11,atm,0
11,entrance,3
12,atm,0
12,entrance,3
13,atm,0
13,entrance,3
14,atm,0
14,entrance,3
15,atm,0
15,entrance,4
16,atm,0
16,entrance,4
17,atm,0
17,entrance,4
18,atm,0
18,entrance,4
19,atm,0
19,entrance,4
20,atm,0
20,entrance,4
21,atm,0
21,entrance,4
22,atm,0
22,entrance,4
23,atm,0
23,entrance,4
24,atm,0
24,entrance,3
25,atm,0
25,entrance,3
26,atm,0
26,entrance,3
27,atm,0
27,entrance,3
28,atm,0
28,entrance,3
29,atm,0
29,entrance,3
30,atm,0
30,entrance,4
31,atm,0
31,entrance,4
32,atm,0
32,entrance,4
33,atm,0
33,entrance,4
34,atm,0
34,entrance,3
35,atm,0
35,entrance,4
36,atm,0
36,entrance,4
37,atm,0
37,entrance,4
38,atm,0
38,entrance,4
39,atm,0
39,entrance,4
40,atm,0
40,entrance,4
41,atm,0
41,entrance,4
42,atm,0
42,entrance,3
43,atm,0
43,entrance,3
44,atm,0
44,entrance,3
45,atm,0
45,entrance,3
46,atm,0
46,entrance,3
47,atm,0
47,entrance,3
48,atm,0
48,entrance,3
49,atm,0
49,entrance,4
50,atm,0
50,entrance,4
51,atm,0
51,entrance,3
52,atm,0
52,entrance,4
53,atm,0
53,entrance,4
54,atm,0
54,entrance,4
55,atm,0
55,entrance,4
56,atm,0
56,entrance,4
57,atm,0
57,entrance,4
58,atm,0
58,entrance,4
59,atm,0
59,entrance,4
60,atm,0
60,entrance,4
61,atm,0
61,entrance,3
62,atm,0
62,entrance,3
63,atm,0
63,entrance,3
64,atm,0
64,entrance,4
65,atm,0
65,entrance,4
66,atm,0
66,entrance,4
67,atm,0
67,entrance,4
68,atm,0
68,entrance,4
69,atm,0
69,entrance,4
70,atm,0
70,entrance,4
71,atm,0
71,entrance,4
72,atm,0
72,entrance,4
73,atm,0
73,entrance,4
74,atm,0
74,entrance,5
75,atm,0
75,entrance,5
76,atm,0
76,entrance,5
77,atm,0
77,entrance,5
78,atm,0
78,entrance,4
79,atm,0
79,entrance,4
80,atm,0
80,entrance,4
81,atm,0
81,entrance,3
82,atm,0
82,entrance,3
83,atm,0
83,entrance,3
84,atm,0
84,entrance,3
85,atm,0
85,entrance,3
86,atm,0
86,entrance,3
87,atm,0
87,entrance,3
88,atm,0
88,entrance,3
89,atm,0
89,entrance,3
90,atm,0
90,entrance,3
91,atm,0
91,entrance,4
92,atm,0
92,entrance,4
93,atm,0
93,entrance,4
94,atm,0
94,entrance,4
95,atm,0
95,entrance,4
96,atm,0
96,entrance,4
97,atm,0
97,entrance,4
98,atm,0
98,entrance,4
99,atm,0
99,entrance,4
100,atm,0
100,entrance,4
101,atm,0
101,entrance,4
102,atm,0
102,entrance,4
103,atm,0
103,entrance,4
104,atm,0
104,entrance,4
105,atm,0
105,entrance,4
106,atm,0
106,entrance,4
107,atm,0
107,entrance,4
108,atm,0
108,entrance,4
109,atm,0
109,entrance,4
110,atm,0
110,entrance,4
111,atm,0
111,entrance,4
112,atm,0
112,entrance,4
113,atm,0
113,entrance,4
114,atm,0
114,entrance,4
115,atm,0
115,entrance,4
116,atm,0
116,entrance,4
117,atm,0
117,entrance,4
118,atm,0
118,entrance,4
119,atm,0
119,entrance,4
120,atm,0
120,entrance,4
121,atm,0
121,entrance,4
122,atm,0
122,entrance,4
123,atm,0
123,entrance,4
124,atm,0
124,entrance,4
125,atm,0
125,entrance,4
126,atm,0
126,entrance,4
127,atm,0
127,entrance,4
128,atm,0
128,entrance,4
129,atm,0
129,entrance,4
130,atm,0
130,entrance,4
131,atm,0
131,entrance,4
132,atm,0
132,entrance,4
133,atm,0
133,entrance,4
134,atm,0
134,entrance,4
135,atm,0
135,entrance,4
136,atm,0
136,entrance,4
137,atm,0
137,entrance,3
138,atm,0
138,entrance,3
139,atm,0
139,entrance,3
140,atm,0
140,entrance,3
141,atm,0
141,entrance,3
142,atm,0
142,entrance,3
143,atm,0
143,entrance,3
144,atm,0
144,entrance,3
145,atm,0
145,entrance,4
146,atm,0
146,entrance,4
147,atm,0
147,entrance,4
148,atm,0
148,entrance,4
149,atm,0
149,entrance,4
150,atm,0
150,entrance,4
151,atm,0
151,entrance,4
152,atm,0
152,entrance,4
153,atm,0
153,entrance,4
154,atm,0
154,entrance,4
155,atm,0
155,entrance,4
156,atm,0
156,entrance,4
157,atm,0
157,entrance,4
158,atm,0
158,entrance,4
159,atm,0
159,entrance,4
160,atm,0
160,entrance,4
161,atm,0
161,entrance,4
162,atm,0
162,entrance,4
163,atm,0
163,entrance,4
164,atm,0
164,entrance,4
165,atm,0
165,entrance,4
166,atm,0
166,entrance,4
167,atm,0
167,entrance,4
168,atm,0
168,entrance,4
169,atm,0
169,entrance,4
170,atm,0
170,entrance,4
171,atm,0
171,entrance,4
172,atm,0
172,entrance,4
173,atm,0
173,entrance,4
174,atm,0
174,entrance,4
175,atm,0
175,entrance,4
176,atm,0
176,entrance,4
177,atm,0
177,entrance,4
178,atm,0
178,entrance,4
179,atm,0
179,entrance,4
180,atm,0
180,entrance,4
181,atm,0
181,entrance,4
182,atm,0
182,entrance,4
183,atm,0
183,entrance,4
184,atm,0
184,entrance,4
185,atm,0
185,entrance,4
186,atm,0
186,entrance,4
187,atm,0
187,entrance,4
188,atm,0
188,entrance,4
189,atm,0
189,entrance,4
190,atm,0
190,entrance,4
191,atm,0
191,entrance,4
192,atm,0
192,entrance,4
193,atm,0
193,entrance,4
194,atm,0
194,entrance,4
195,atm,0
195,entrance,4
196,atm,0
196,entrance,4
197,atm,0
197,entrance,4
198,atm,0
198,entrance,4
199,atm,0
199,entrance,4
200,atm,0
200,entrance,4
201,atm,0
201,entrance,4
202,atm,0
202,entrance,4
203,atm,0
203,entrance,4
204,atm,0
204,entrance,4
205,atm,0
205,entrance,4
206,atm,0
206,entrance,4
207,atm,0
207,entrance,4
208,atm,0
208,entrance,4
209,atm,0
209,entrance,4
210,atm,0
210,entrance,4
211,atm,0
211,entrance,4
212,atm,0
212,entrance,4
213,atm,0
213,entrance,4
214,atm,0
214,entrance,4
215,atm,0
215,entrance,4
216,atm,0
216,entrance,4
217,atm,0
217,entrance,4
218,atm,0
218,entrance,4
219,atm,0
219,entrance,4
220,atm,0
220,entrance,4
221,atm,0
221,entrance,4
222,atm,0
222,entrance,4
223,atm,0
223,entrance,4
224,atm,0
224,entrance,4
225,atm,0
225,entrance,4
226,atm,0
226,entrance,4
227,atm,0
227,entrance,4
228,atm,0
228,entrance,4
229,atm,0
229,entrance,4
230,atm,0
230,entrance,4
231,atm,0
231,entrance,4
232,atm,0
232,entrance,4
233,atm,0
233,entrance,4
234,atm,0
234,entrance,4
235,atm,0
235,entrance,3
236,atm,0
236,entrance,3
237,atm,0
237,entrance,3
238,atm,0
238,entrance,3
239,atm,0
239,entrance,3
240,atm,0
240,entrance,3
241,atm,0
241,entrance,3
242,atm,0
242,entrance,3
243,atm,0
243,entrance,3
244,atm,0
244,entrance,3
245,atm,0
245,entrance,3
246,atm,0
246,entrance,3
247,atm,0
247,entrance,3
248,atm,0
248,entrance,3
249,atm,0
249,entrance,3
250,atm,0
250,entrance,3
251,atm,0
251,entrance,3
252,atm,0
252,entrance,3
253,atm,0
253,entrance,3
254,atm,0
254,entrance,3
255,atm,0
255,entrance,3
256,atm,0
