frame_number,frame_time,results
0,2024/5/22 Wednesday 0:0:1,"[{'box': [472.44305419921875, 194.6828155517578, 46.975830078125, 90.13308715820312], 'conf': 0.9080498, 'label_id': 'cell phone', 'sub_labels': 'other', 'sub_labels_conf': 0.9599198698997498, 'id': 1}, {'box': [539.6041259765625, 328.2072448730469, 33.7139892578125, 53.22344970703125], 'conf': 0.8260816, 'label_id': 'mouse', 'sub_labels': 'not_human', 'sub_labels_conf': 0.6177694797515869, 'id': 2}, {'box': [409.57720947265625, 304.3104248046875, 203.59893798828125, 76.3935546875], 'conf': 0.7634219, 'label_id': 'keyboard', 'sub_labels': 'not_human', 'sub_labels_conf': 0.9980137348175049, 'id': 3}, {'box': [1030.978271484375, 244.852783203125, 64.34130859375, 46.2281494140625], 'conf': 0.64202464, 'label_id': 'cup', 'sub_labels': 'other', 'sub_labels_conf': 0.9991990923881531, 'id': 4}, {'box': [545.67724609375, 60.265647888183594, 206.52001953125, 119.04750061035156], 'conf': 0.63575035, 'label_id': 'tv', 'sub_labels': 'other', 'sub_labels_conf': 0.6418112516403198, 'id': 5}]"
1,2024/5/22 Wednesday 0:0:1,"[{'box': [472.440673828125, 194.632080078125, 46.968017578125, 90.16148376464844], 'conf': 0.9089773, 'label_id': 'cell phone', 'sub_labels': 'other', 'sub_labels_conf': 0.9599198698997498, 'id': 1}, {'box': [539.6082763671875, 328.1581726074219, 33.69915771484375, 53.2276611328125], 'conf': 0.83273816, 'label_id': 'mouse', 'sub_labels': 'not_human', 'sub_labels_conf': 0.6177694797515869, 'id': 2}, {'box': [409.58349609375, 304.2626037597656, 203.56915283203125, 76.46575927734375], 'conf': 0.75973624, 'label_id': 'keyboard', 'sub_labels': 'not_human', 'sub_labels_conf': 0.9980137348175049, 'id': 3}, {'box': [1030.8358154296875, 244.87396240234375, 64.65478515625, 46.12068176269531], 'conf': 0.37793386, 'label_id': 'cup', 'sub_labels': 'other', 'sub_labels_conf': 0.9991990923881531, 'id': 4}, {'box': [545.9651489257812, 60.41521072387695, 207.30612182617188, 119.53949737548828], 'conf': 0.6057613, 'label_id': 'tv', 'sub_labels': 'other', 'sub_labels_conf': 0.6418112516403198, 'id': 5}]"
2,2024/5/22 Wednesday 0:0:1,"[{'box': [472.45330810546875, 194.61138916015625, 46.986968994140625, 90.20034790039062], 'conf': 0.91041505, 'label_id': 'cell phone', 'sub_labels': 'other', 'sub_labels_conf': 0.9599198698997498, 'id': 1}, {'box': [539.6181640625, 328.1473388671875, 33.67303466796875, 53.253448486328125], 'conf': 0.8344767, 'label_id': 'mouse', 'sub_labels': 'not_human', 'sub_labels_conf': 0.6177694797515869, 'id': 2}, {'box': [409.5953369140625, 304.2437744140625, 203.57479858398438, 76.39950561523438], 'conf': 0.75851023, 'label_id': 'keyboard', 'sub_labels': 'not_human', 'sub_labels_conf': 0.9980137348175049, 'id': 3}, {'box': [1030.8338623046875, 244.93746948242188, 64.644775390625, 46.03199768066406], 'conf': 0.433474, 'label_id': 'cup', 'sub_labels': 'other', 'sub_labels_conf': 0.9991990923881531, 'id': 4}, {'box': [546.0001220703125, 60.53437042236328, 207.4595947265625, 119.83467102050781], 'conf': 0.5980437, 'label_id': 'tv', 'sub_labels': 'other', 'sub_labels_conf': 0.6759129166603088, 'id': 5}]"
3,2024/5/22 Wednesday 0:0:1,"[{'box': [472.44598388671875, 194.60162353515625, 46.968719482421875, 90.18370056152344], 'conf': 0.9103124, 'label_id': 'cell phone', 'sub_labels': 'other', 'sub_labels_conf': 0.9599198698997498, 'id': 1}, {'box': [539.6099853515625, 328.11773681640625, 33.66241455078125, 53.232757568359375], 'conf': 0.84247077, 'label_id': 'mouse', 'sub_labels': 'not_human', 'sub_labels_conf': 0.6177694797515869, 'id': 2}, {'box': [409.659423828125, 304.2523193359375, 203.5111083984375, 76.39846801757812], 'conf': 0.7530345, 'label_id': 'keyboard', 'sub_labels': 'not_human', 'sub_labels_conf': 0.9980137348175049, 'id': 3}, {'box': [1030.8101806640625, 244.9095458984375, 64.67010498046875, 46.02876281738281], 'conf': 0.39503738, 'label_id': 'cup', 'sub_labels': 'other', 'sub_labels_conf': 0.9991990923881531, 'id': 4}, {'box': [545.9641723632812, 60.44625473022461, 207.411865234375, 119.6582260131836], 'conf': 0.5914336, 'label_id': 'tv', 'sub_labels': 'other', 'sub_labels_conf': 0.6418112516403198, 'id': 5}, {'box': [430.69866943359375, 314.06292724609375, 331.81982421875, 171.97178649902344], 'conf': 0.65218526, 'label_id': 'laptop', 'sub_labels': 'not_human', 'sub_labels_conf': 0.9999992847442627, 'id': 6}]"
4,2024/5/22 Wednesday 0:0:1,"[{'box': [472.43994140625, 194.59390258789062, 46.94677734375, 90.17835998535156], 'conf': 0.9100253, 'label_id': 'cell phone', 'sub_labels': 'other', 'sub_labels_conf': 0.9599198698997498, 'id': 1}, {'box': [539.6005859375, 328.10333251953125, 33.64642333984375, 53.1741943359375], 'conf': 0.84949505, 'label_id': 'mouse', 'sub_labels': 'not_human', 'sub_labels_conf': 0.6177694797515869, 'id': 2}, {'box': [409.63385009765625, 304.2495422363281, 203.52786254882812, 76.30218505859375], 'conf': 0.7607784, 'label_id': 'keyboard', 'sub_labels': 'not_human', 'sub_labels_conf': 0.9980137348175049, 'id': 3}, {'box': [1030.785400390625, 244.88772583007812, 64.7030029296875, 46.02769470214844], 'conf': 0.3629657, 'label_id': 'cup', 'sub_labels': 'other', 'sub_labels_conf': 0.9991990923881531, 'id': 4}, {'box': [546.025390625, 60.41103744506836, 207.49398803710938, 119.58765411376953], 'conf': 0.58810866, 'label_id': 'tv', 'sub_labels': 'other', 'sub_labels_conf': 0.6759129166603088, 'id': 5}, {'box': [430.6653137207031, 314.0826721191406, 331.64483642578125, 172.03355407714844], 'conf': 0.64380383, 'label_id': 'laptop', 'sub_labels': 'not_human', 'sub_labels_conf': 0.9999988079071045, 'id': 6}]"
5,2024/5/22 Wednesday 0:0:1,"[{'box': [472.4324035644531, 194.58929443359375, 46.961669921875, 90.19728088378906], 'conf': 0.91025746, 'label_id': 'cell phone', 'sub_labels': 'other', 'sub_labels_conf': 0.9599198698997498, 'id': 1}, {'box': [539.5867919921875, 328.1135559082031, 33.65802001953125, 53.19049072265625], 'conf': 0.8447374, 'label_id': 'mouse', 'sub_labels': 'not_human', 'sub_labels_conf': 0.6177694797515869, 'id': 2}, {'box': [409.59515380859375, 304.27752685546875, 203.52487182617188, 76.3809814453125], 'conf': 0.7595893, 'label_id': 'keyboard', 'sub_labels': 'not_human', 'sub_labels_conf': 0.9980137348175049, 'id': 3}, {'box': [1030.805908203125, 244.920166015625, 64.64556884765625, 45.99000549316406], 'conf': 0.411277, 'label_id': 'cup', 'sub_labels': 'other', 'sub_labels_conf': 0.9995500445365906, 'id': 4}, {'box': [545.9649658203125, 60.1193733215332, 207.38372802734375, 118.9861068725586], 'conf': 0.5859866, 'label_id': 'tv', 'sub_labels': 'other', 'sub_labels_conf': 0.6418112516403198, 'id': 5}, {'box': [430.8304443359375, 314.323974609375, 331.8330993652344, 172.29554748535156], 'conf': 0.7323896, 'label_id': 'laptop', 'sub_labels': 'not_human', 'sub_labels_conf': 0.999998927116394, 'id': 6}]"
6,2024/5/22 Wednesday 0:0:1,"[{'box': [472.420166015625, 194.61181640625, 46.942535400390625, 90.15834045410156], 'conf': 0.90841055, 'label_id': 'cell phone', 'sub_labels': 'other', 'sub_labels_conf': 0.9599198698997498, 'id': 1}, {'box': [539.5767822265625, 328.1288757324219, 33.65655517578125, 53.21826171875], 'conf': 0.8478557, 'label_id': 'mouse', 'sub_labels': 'not_human', 'sub_labels_conf': 0.6177694797515869, 'id': 2}, {'box': [409.51654052734375, 304.23565673828125, 203.58554077148438, 76.29437255859375], 'conf': 0.76331544, 'label_id': 'keyboard', 'sub_labels': 'not_human', 'sub_labels_conf': 0.9980424642562866, 'id': 3}, {'box': [1030.8143310546875, 244.92721557617188, 64.636474609375, 46.02073669433594], 'conf': 0.4053562, 'label_id': 'cup', 'sub_labels': 'other', 'sub_labels_conf': 0.9991990923881531, 'id': 4}, {'box': [546.0201416015625, 60.109962463378906, 207.46737670898438, 118.99018859863281], 'conf': 0.5965885, 'label_id': 'tv', 'sub_labels': 'other', 'sub_labels_conf': 0.6759129166603088, 'id': 5}, {'box': [430.8949890136719, 314.35382080078125, 331.83062744140625, 172.60232543945312], 'conf': 0.68614954, 'label_id': 'laptop', 'sub_labels': 'not_human', 'sub_labels_conf': 0.999998927116394, 'id': 6}]"
7,2024/5/22 Wednesday 0:0:1,"[{'box': [472.403076171875, 194.6048126220703, 46.909454345703125, 90.16427612304688], 'conf': 0.9089651, 'label_id': 'cell phone', 'sub_labels': 'other', 'sub_labels_conf': 0.9557451605796814, 'id': 1}, {'box': [539.5787353515625, 328.1539306640625, 33.70184326171875, 53.263824462890625], 'conf': 0.84156805, 'label_id': 'mouse', 'sub_labels': 'not_human', 'sub_labels_conf': 0.5782958269119263, 'id': 2}, {'box': [409.48236083984375, 304.30224609375, 203.78506469726562, 76.58712768554688], 'conf': 0.76011705, 'label_id': 'keyboard', 'sub_labels': 'not_human', 'sub_labels_conf': 0.9980055689811707, 'id': 3}, {'box': [1030.828857421875, 244.96566772460938, 64.6075439453125, 46.0189208984375], 'conf': 0.45615482, 'label_id': 'cup', 'sub_labels': 'other', 'sub_labels_conf': 0.9991990923881531, 'id': 4}, {'box': [545.6697998046875, 60.315887451171875, 206.77304077148438, 119.25926208496094], 'conf': 0.58780986, 'label_id': 'tv', 'sub_labels': 'other', 'sub_labels_conf': 0.6474312543869019, 'id': 5}, {'box': [431.1505432128906, 314.13909912109375, 332.47637939453125, 172.6415557861328], 'conf': 0.65508103, 'label_id': 'laptop', 'sub_labels': 'not_human', 'sub_labels_conf': 0.9999988079071045, 'id': 6}]"
8,2024/5/22 Wednesday 0:0:1,"[{'box': [472.39215087890625, 194.59823608398438, 46.896514892578125, 90.17024230957031], 'conf': 0.90832394, 'label_id': 'cell phone', 'sub_labels': 'other', 'sub_labels_conf': 0.9557451605796814, 'id': 1}, {'box': [539.5787353515625, 328.1907958984375, 33.7130126953125, 53.284637451171875], 'conf': 0.83843356, 'label_id': 'mouse', 'sub_labels': 'not_human', 'sub_labels_conf': 0.5782958269119263, 'id': 2}, {'box': [409.41656494140625, 304.305419921875, 203.90887451171875, 76.5687255859375], 'conf': 0.76474154, 'label_id': 'keyboard', 'sub_labels': 'not_human', 'sub_labels_conf': 0.9980055689811707, 'id': 3}, {'box': [1030.81640625, 244.94674682617188, 64.64404296875, 46.05531311035156], 'conf': 0.41783148, 'label_id': 'cup', 'sub_labels': 'other', 'sub_labels_conf': 0.9991990923881531, 'id': 4}, {'box': [545.3770751953125, 60.18431854248047, 206.2119140625, 118.89501953125], 'conf': 0.5739987, 'label_id': 'tv', 'sub_labels': 'other', 'sub_labels_conf': 0.6474312543869019, 'id': 5}, {'box': [431.1475524902344, 314.01202392578125, 332.44195556640625, 172.64356994628906], 'conf': 0.6203489, 'label_id': 'laptop', 'sub_labels': 'not_human', 'sub_labels_conf': 0.9999988079071045, 'id': 6}]"
9,2024/5/22 Wednesday 0:0:1,"[{'box': [472.39398193359375, 194.5899200439453, 46.915740966796875, 90.19937133789062], 'conf': 0.90976614, 'label_id': 'cell phone', 'sub_labels': 'other', 'sub_labels_conf': 0.9557451605796814, 'id': 1}, {'box': [539.5731201171875, 328.18743896484375, 33.72930908203125, 53.327850341796875], 'conf': 0.831473, 'label_id': 'mouse', 'sub_labels': 'not_human', 'sub_labels_conf': 0.5782958269119263, 'id': 2}, {'box': [409.4479064941406, 304.298095703125, 203.84246826171875, 76.56246948242188], 'conf': 0.75755256, 'label_id': 'keyboard', 'sub_labels': 'not_human', 'sub_labels_conf': 0.9980055689811707, 'id': 3}, {'box': [1030.824462890625, 244.95285034179688, 64.64306640625, 46.07572937011719], 'conf': 0.4612604, 'label_id': 'cup', 'sub_labels': 'other', 'sub_labels_conf': 0.9991990923881531, 'id': 4}, {'box': [545.1510009765625, 59.87368392944336, 205.73995971679688, 118.19718170166016], 'conf': 0.578826, 'label_id': 'tv', 'sub_labels': 'not_human', 'sub_labels_conf': 0.42882001399993896, 'id': 5}, {'box': [431.2907409667969, 313.94873046875, 332.91021728515625, 172.82803344726562], 'conf': 0.61211, 'label_id': 'laptop', 'sub_labels': 'not_human', 'sub_labels_conf': 0.9999988079071045, 'id': 6}]"
